"ctry_name";"ctry_link";"iso3"
"Algeria";"algeria";"DZA"
"Angola";"angola";"AGO"
"Benin";"benin";"BEN"
"Botswana";"botswana";"BWA"
"Burkina Faso";"burkina-faso";"BFA"
"Burundi";"burundi";"BDI"
"Cameroon";"cameroon";"CMR"
"Canary Islands";"canary-islands";"NA_CAI"
"Cape Verde";"cape-verde";"CPV"
"Central African Republic";"central-african-republic";"CAF"
"Chad";"chad";"TCD"
"Comores";"comores";"COM"
"Congo (Republic/Brazzaville)";"congo-brazzaville";"COG"
"Congo (Democratic Republic/Kinshasa)";"congo-democratic-republic";"COD"
"Djibouti";"djibouti";"DJI"
"Egypt";"egypt";"EGY"
"Equatorial Guinea";"equatorial-guinea";"GNQ"
"Eritrea";"eritrea";"ERI"
"Ethiopia";"ethiopia";"ETH"
"Gambia";"senegal-and-gambia";"GMB"
"Gabon";"gabon";"GAB"
"Ghana";"ghana";"GHA"
"Guinea";"guinea";"GIN"
"Guinea-Bissau";"guinea-bissau";"GNB"
"Ivory Coast";"ivory-coast";"CIV"
"Kenya";"kenya";"KEN"
"Lesotho";"lesotho";"LSO"
"Liberia";"liberia";"LBR"
"Libya";"libya";"LBY"
"Madagascar";"madagascar";"MDG"
"Malawi";"malawi";"MWI"
"Mali";"mali";"MLI"
"Mauritania";"mauritania";"MRT"
"Mauritius";"mauritius";"MUS"
"Morocco";"morocco";"MAR"
"Mozambique";"mozambique";"MOZ"
"Namibia";"namibia";"NAM"
"Niger";"niger";"NER"
"Nigeria";"nigeria";"NGA"
"Rwanda";"rwanda";"RWA"
"Saint Helena, Ascension, and Tristan da Cunha";"saint-helena-ascension-and-tristan-da-cunha";"SHN"
"Sao Tome and Principe";"sao-tome-and-principe";"STP"
"Senegal and Gambia";"senegal-and-gambia";"SEN"
"Seychelles";"seychelles";"SYC"
"Sierra Leone";"sierra-leone";"SLE"
"Somalia";"somalia";"SOM"
"South Africa";"south-africa";"ZAF"
"South Sudan";"south-sudan";"SSD"
"Sudan";"sudan";"SDN"
"Swaziland";"swaziland";"SWZ"
"Tanzania";"tanzania";"TZA"
"Togo";"togo";"TGO"
"Tunisia";"tunisia";"TUN"
"Uganda";"uganda";"UGA"
"Zambia";"zambia";"ZMB"
"Zimbabwe";"zimbabwe";"ZWE"
