ctry_name;ctry_link;iso3;continent
Algeria;algeria;DZA;Africa
Angola;angola;AGO;Africa
Benin;benin;BEN;Africa
Botswana;botswana;BWA;Africa
Burkina Faso;burkina-faso;BFA;Africa
Burundi;burundi;BDI;Africa
Cameroon;cameroon;CMR;Africa
Canary Islands;canary-islands;NA_CAI;Africa
Cape Verde;cape-verde;CPV;Africa
Central African Republic;central-african-republic;CAF;Africa
Chad;chad;TCD;Africa
Comores;comores;COM;Africa
Congo (Republic/Brazzaville);congo-brazzaville;COG;Africa
Congo (Democratic Republic/Kinshasa);congo-democratic-republic;COD;Africa
Djibouti;djibouti;DJI;Africa
Egypt;egypt;EGY;Africa
Equatorial Guinea;equatorial-guinea;GNQ;Africa
Eritrea;eritrea;ERI;Africa
Ethiopia;ethiopia;ETH;Africa
Gambia;senegal-and-gambia;GMB;Africa
Gabon;gabon;GAB;Africa
Ghana;ghana;GHA;Africa
Guinea;guinea;GIN;Africa
Guinea-Bissau;guinea-bissau;GNB;Africa
Ivory Coast;ivory-coast;CIV;Africa
Kenya;kenya;KEN;Africa
Lesotho;lesotho;LSO;Africa
Liberia;liberia;LBR;Africa
Libya;libya;LBY;Africa
Madagascar;madagascar;MDG;Africa
Malawi;malawi;MWI;Africa
Mali;mali;MLI;Africa
Mauritania;mauritania;MRT;Africa
Mauritius;mauritius;MUS;Africa
Morocco;morocco;MAR;Africa
Mozambique;mozambique;MOZ;Africa
Namibia;namibia;NAM;Africa
Niger;niger;NER;Africa
Nigeria;nigeria;NGA;Africa
Rwanda;rwanda;RWA;Africa
Saint Helena, Ascension, and Tristan da Cunha;saint-helena-ascension-and-tristan-da-cunha;SHN;Africa
Sao Tome and Principe;sao-tome-and-principe;STP;Africa
Senegal and Gambia;senegal-and-gambia;SEN;Africa
Seychelles;seychelles;SYC;Africa
Sierra Leone;sierra-leone;SLE;Africa
Somalia;somalia;SOM;Africa
South Africa;south-africa;ZAF;Africa
South Sudan;south-sudan;SSD;Africa
Sudan;sudan;SDN;Africa
Swaziland;swaziland;SWZ;Africa
Tanzania;tanzania;TZA;Africa
Togo;togo;TGO;Africa
Tunisia;tunisia;TUN;Africa
Uganda;uganda;UGA;Africa
Zambia;zambia;ZMB;Africa
Zimbabwe;zimbabwe;ZWE;Africa
Afghanistan;afghanistan;AFG;Asia
Azerbaijan;azerbaijan;AZE;Asia
Bangladesh;bangladesh;BGD;Asia
Bhutan;bhutan;BTN;Asia
Cambodia;cambodia;KHM;Asia
China;china;CHN;Asia
GCC States;gcc-states;NA_GCC;Asia
India;india;IND;Asia
Indonesia;indonesia;IDN;Asia
Iran;iran;IRN;Asia
Iraq;iraq;IRQ;Asia
Israel;israel-and-palestine;ISR;Asia
Palestine;israel-and-palestine;PSE;Asia
Japan;japan;JPN;Asia
Jordan;jordan;JOR;Asia
Kazakhstan;kazakhstan;KAZ;Asia
Kyrgyzstan;kyrgyzstan;KGZ;Asia
Laos;laos;LAO;Asia
Lebanon;lebanon;LBN;Asia
Malaysia;malaysia-singapore-brunei;MAL;Asia
Singapore;malaysia-singapore-brunei;SGP;Asia
Brunei;malaysia-singapore-brunei;BRU;Asia
Maldives;maldives;MDV;Asia
Mongolia;mongolia;MNG;Asia
Myanmar (a.k.a. Burma);myanmar;MMR;Asia
Nepal;nepal;NPL;Asia
North Korea;north-korea;PRK;Asia
Pakistan;pakistan;PAK;Asia
Philippines;philippines;PHL;Asia
Russian Federation;russia;RUS;Asia
South Korea;south-korea;ROK;Asia
Sri Lanka;sri-lanka;LKA;Asia
Syria;syria;SYR;Asia
Taiwan;taiwan;TWN;Asia
Tajikistan;tajikistan;TJK;Asia
Thailand;thailand;THA;Asia
Turkmenistan;turkmenistan;TKM;Asia
Uzbekistan;uzbekistan;UZB;Asia
Vietnam;vietnam;VNM;Asia
Yemen;yemen;YEM;Asia
Papua New Guinea;papua-new-guinea;PNG;Australia-Oceania
New Caledonia;new-caledonia;NCL;Australia-Oceania
Peru;peru;PER;South-America
Bolivia;bolivia;BOL;South-America
Brazil;brazil;BRA;South-America
Colombia;colombia;COL;South-America
Suriname;suriname;SUR;South-America
Uruguay;uruguay;URY;South-America
Venezuela;venezuela;VEN;South-America

