id;cont_run;ctry_run;iso3;ctry_long_name;ctry_geofab;cont_geofab;ctry_osmfr;cont_osmfr
1;Africa;Angola;AGO;Angola;angola;africa;angola;africa
2;Africa;Burundi;BDI;Burundi;burundi;africa;burundi;africa
3;Africa;Benin;BEN;Benin;benin;africa;benin;africa
4;Africa;CAR;CAF;Central African Republic;central-african-republic;africa;central_african_republic;africa
5;Africa;Ivory Coast;CIV;Côte D'Ivoire;ivory-coast;africa;ivory_coast;africa
6;Africa;Cameroon;CMR;Cameroon;cameroon;africa;cameroon;africa
7;Africa;DRC;COD;Democratic Republic of the Congo;congo-democratic-republic;africa;congo_kinshasa;africa
8;Africa;Congo;COG;Congo;congo-brazzaville;africa;congo_brazzaville;africa
9;Africa;Comoros;COM;Comoros;comores;africa;comoros;africa
10;Africa;Ethiopia;ETH;Ethiopia;ethiopia;africa;NA;NA
11;Africa;Gabon;GAB;Gabon;gabon;africa;gabon;africa
12;Africa;Ghana;GHA;Ghana;ghana;africa;ghana;africa
13;Africa;Guinea;GIN;Guinea;guinea;africa;guinea;africa
14;Africa;Gambia;GMB;Gambia (Islamic Republic of the);senegal-and-gambia;africa;gambia;africa
15;Africa;Guinea Bissau;GNB;Guinea Bissau;guinea-bissau;africa;NA;NA
16;Africa;Eq. Guinea;GNQ;Equatorial Guinea;equatorial-guinea;africa;equatorial_guinea;africa
17;Africa;Kenya;KEN;Kenya;kenya;africa;kenya;africa
18;Africa;Liberia;LBR;Liberia;liberia;africa;NA;NA
19;Africa;Madagascar;MDG;Madagascar;madagascar;africa;NA;NA
20;Africa;Mauritius;MUS;Mauritius;mauritius;africa;mauritius;africa
21;Africa;Malawi;MWI;Malawi;malawi;africa;malawi;africa
22;Africa;Mayotte;MYT;Mayotte;france/mayotte;europe;mayotte;africa
23;Africa;Nigeria;NGA;Nigeria;nigeria;africa;NA;NA
24;Africa;Reunion;REU;Reunion;france/reunion;europe;reunion;africa
25;Africa;Rwanda;RWA;Rwanda;rwanda;africa;rwanda;africa
26;Africa;Senegal;SEN;Senegal;senegal-and-gambia;africa;senegal;africa
27;Africa;Sierra Leone;SLE;Sierra Leone;sierra-leone;africa;NA;NA
28;Africa;South Sudan;SSD;South Sudan;south-sudan;africa;south_sudan;africa
29;Africa;Sao Tome and P.;STP;Sao Tome and Principe;sao-tome-and-principe;africa;sao_tome_and_principe;africa
30;Africa;Togo;TGO;Togo;togo;africa;togo;africa
31;Africa;Tanzania;TZA;United Republic of Tanzania;tanzania;africa;NA;NA
32;Africa;Uganda;UGA;Uganda;uganda;africa;uganda;africa
33;Africa;Zambia;ZMB;Zambia;zambia;africa;zambia;africa
34;America;Antigua and B.;ATG;Antigua and Barbuda;NA;NA;antigua_and_barbuda;central-america
35;America;Bahamas;BHS;Bahamas;bahamas;central-america;bahamas;central-america
36;America;Belize;BLZ;Belize;belize;central-america;NA;NA
37;America;Bolivia;BOL;Bolivia (Plurinational State of);bolivia;south-america;NA;NA
38;America;Barbados;BRB;Barbados;NA;NA;barbados;central-america
39;America;Colombia;COL;Colombia;colombia;south-america;NA;NA
40;America;Costa Rica;CRI;Costa Rica;NA;NA;costa_rica;central-america
41;America;Cuba;CUB;Cuba;cuba;central-america;NA;NA
42;America;Dominica;DMA;Dominica;NA;NA;dominica;central-america
43;America;Dominican Rep.;DOM;Dominican Republic;haiti-and-domrep;central-america;NA;NA
44;America;Ecuador;ECU;Ecuador;ecuador;south-america;NA;NA
45;America;Guadeloupe;GLP;Guadeloupe;france/guadeloupe;europe;guadeloupe;central-america
46;America;Grenada;GRD;Grenada;NA;NA;grenada;central-america
47;America;Guatemala;GTM;Guatemala;guatemala;central-america;NA;NA
48;America;French Guiana;GUF;French Guiana;france/guyane;europe;guyane;south-america
49;America;Guyana;GUY;Guyana;NA;NA;guyana;south-america
50;America;Honduras;HND;Honduras;NA;NA;honduras;central-america
51;America;Haiti;HTI;Haiti;haiti-and-domrep;central-america;NA;NA
52;America;Jamaica;JAM;Jamaica;jamaica;central-america;jamaica;central-america
53;America;Saint Kitts and N.;KNA;Saint Kitts and Nevis;NA;NA;saint_kitts_and_nevis;central-america
54;America;Saint Lucia;LCA;Saint Lucia;NA;NA;saint_lucia;central-america
55;America;Saint Martin;MAF;Saint Martin (French part);NA;NA;saint_martin;central-america
56;America;Mexico;MEX;Mexico;mexico;north-america;NA;NA
57;America;Montserrat;MSR;Montserrat;NA;NA;montserrat;central-america
58;America;Martinique;MTQ;Martinique;france/martinique;europe;martinique;central-america
59;America;Nicaragua;NIC;Nicaragua;nicaragua;central-america;nicaragua;central-america
60;America;Panama;PAN;Panama;NA;NA;panama;central-america
61;America;Peru;PER;Peru;peru;south-america;NA;NA
62;America;Puerto Rico;PRI;Puerto Rico;us/puerto-rico;north-america;puerto_rico;central-america
63;America;Paraguay;PRY;Paraguay;paraguay;south-america;paraguay;south-america
64;America;El Salvador;SLV;El Salvador;NA;NA;el_salvador;central-america
65;America;Suriname;SUR;Suriname;suriname;south-america;suriname;south-america
66;America;Sint Maarten;SXM;Sint Maarten (Dutch part);NA;NA;sint_maarten;central-america
67;America;Trinidad and Tobago;TTO;Trinidad and Tobago;NA;NA;trinidad_and_tobago;south-america
68;America;Saint Vincent;VCT;Saint Vincent and the Grenadines;NA;NA;saint_vincent_and_the_grenadines;central-america
69;America;Venezuela;VEN;Venezuela, Bolivarian Republic of;venezuela;south-america;venezuela;south-america
